Power(W), Temperature(å¼C), Time(ms), elapsed time(ms), number of samples
64.164,54,0.450993,4858.1,10772
64.164,54,0.901985,,
64.164,54,1.352978,,
64.164,54,1.803971,,
64.164,54,2.254963,,
64.164,54,2.705956,,
64.164,54,3.156949,,
64.164,54,3.607941,,
64.164,54,4.058934,,
64.164,54,4.509926,,
64.164,54,4.960919,,
64.164,54,5.411912,,
64.164,54,5.862905,,
64.164,54,6.313897,,
64.164,54,6.76489,,
64.164,54,7.215882,,
64.164,54,7.666875,,
64.164,54,8.117867,,
64.164,54,8.56886,,
64.164,54,9.019853,,
64.164,54,9.470845,,
64.164,54,9.921838,,
64.164,54,10.37283,,
63.595,54,10.823824,,
63.595,54,11.274817,,
63.595,54,11.725809,,
63.595,54,12.176802,,
63.595,54,12.627794,,
63.595,54,13.078787,,
63.595,54,13.529779,,
63.595,54,13.980772,,
63.595,54,14.431765,,
63.595,54,14.882757,,
63.595,54,15.33375,,
63.595,54,15.784742,,
63.595,54,16.235735,,
63.595,54,16.686728,,
63.595,54,17.13772,,
63.595,54,17.588713,,
63.595,54,18.039705,,
63.595,54,18.490698,,
63.595,54,18.94169,,
63.595,54,19.392683,,
63.595,54,19.843676,,
63.595,54,20.294668,,
63.595,54,20.745661,,
63.595,54,21.196653,,
63.595,54,21.647648,,
63.595,54,22.09864,,
63.595,54,22.549633,,
63.595,54,23.000626,,
63.595,54,23.451618,,
63.595,54,23.902611,,
63.595,54,24.353603,,
63.595,54,24.804596,,
63.595,54,25.255589,,
63.595,54,25.706581,,
63.595,54,26.157574,,
63.595,54,26.608566,,
63.595,54,27.059559,,
63.595,54,27.510551,,
63.595,54,27.961544,,
63.595,54,28.412537,,
63.595,54,28.863529,,
63.595,54,29.314522,,
63.595,54,29.765514,,
63.595,54,30.216507,,
63.595,54,30.6675,,
63.595,54,31.118492,,
63.595,54,31.569485,,
63.595,54,32.020477,,
63.595,54,32.47147,,
63.595,54,32.922462,,
63.595,54,33.373455,,
63.595,54,33.824448,,
63.595,54,34.27544,,
63.595,54,34.726433,,
63.595,54,35.177425,,
63.595,54,35.628418,,
63.595,54,36.079411,,
63.595,54,36.530403,,
63.595,54,36.981396,,
63.595,54,37.432388,,
63.595,54,37.883381,,
63.595,54,38.334373,,
63.595,54,38.785366,,
63.595,54,39.236359,,
63.595,54,39.687351,,
63.595,54,40.138344,,
63.595,54,40.589336,,
63.595,54,41.040329,,
63.595,54,41.491322,,
63.595,54,41.942314,,
63.595,54,42.393307,,
63.595,54,42.844299,,
63.595,54,43.295296,,
63.595,54,43.746288,,
63.595,54,44.197281,,
63.595,54,44.648273,,
63.595,54,45.099266,,
63.595,54,45.550259,,
63.595,54,46.001251,,
63.595,54,46.452244,,
63.595,54,46.903236,,
63.595,54,47.354229,,
63.595,54,47.805222,,
63.595,54,48.256214,,
63.595,54,48.707207,,
63.595,54,49.158199,,
63.595,54,49.609192,,
63.595,54,50.060184,,
63.595,54,50.511177,,
63.595,54,50.96217,,
63.595,54,51.413162,,
63.595,54,51.864155,,
63.595,54,52.315147,,
63.595,54,52.76614,,
63.595,54,53.217133,,
63.595,54,53.668125,,
63.595,54,54.119118,,
63.595,54,54.57011,,
63.595,54,55.021103,,
63.595,54,55.472095,,
63.595,54,55.923088,,
63.595,54,56.374081,,
63.595,54,56.825073,,
63.595,54,57.276066,,
63.595,54,57.727058,,
63.595,54,58.178051,,
63.595,54,58.629044,,
63.595,54,59.080036,,
63.595,54,59.531029,,
63.595,54,59.982021,,
63.595,54,60.433014,,
63.595,54,60.884007,,
63.595,54,61.334999,,
63.595,54,61.785992,,
63.595,54,62.236984,,
63.595,54,62.687977,,
63.595,54,63.138969,,
63.595,54,63.589962,,
63.595,54,64.040955,,
63.595,54,64.491951,,
63.595,54,64.94294,,
63.595,54,65.393936,,
63.595,54,65.844925,,
63.595,54,66.295921,,
63.595,54,66.74691,,
63.595,54,67.197906,,
63.595,54,67.648895,,
63.595,54,68.099892,,
63.595,54,68.55088,,
63.595,54,69.001877,,
63.595,54,69.452866,,
63.595,54,69.903862,,
63.595,54,70.354851,,
63.595,54,70.805847,,
63.595,54,71.256836,,
63.595,54,71.707832,,
63.595,54,72.158821,,
63.595,54,72.609818,,
63.595,54,73.060806,,
63.595,54,73.511803,,
63.595,54,73.962791,,
63.595,54,74.413788,,
63.595,54,74.864777,,
63.595,54,75.315773,,
63.595,54,75.766762,,
63.595,54,76.217758,,
63.595,54,76.668747,,
63.595,54,77.119743,,
63.595,54,77.570732,,
63.595,54,78.021729,,
63.595,54,78.472717,,
63.595,54,78.923714,,
63.595,54,79.374702,,
63.595,54,79.825699,,
63.595,54,80.276688,,
63.595,54,80.727684,,
63.595,54,81.178673,,
63.595,54,81.629669,,
63.595,54,82.080658,,
63.595,54,82.531654,,
63.595,54,82.982643,,
63.595,54,83.43364,,
63.595,54,83.884628,,
63.595,54,84.335625,,
63.595,54,84.786613,,
63.595,54,85.23761,,
63.595,54,85.688599,,
63.595,54,86.139595,,
63.595,54,86.590591,,
63.595,54,87.04158,,
63.595,54,87.492577,,
63.595,54,87.943565,,
63.595,54,88.394562,,
63.691,54,88.845551,,
63.691,54,89.296547,,
63.691,54,89.747536,,
63.691,54,90.198532,,
63.691,54,90.649521,,
63.691,54,91.100517,,
63.691,54,91.551506,,
63.691,54,92.002502,,
63.691,54,92.453491,,
63.691,54,92.904488,,
63.691,54,93.355476,,
63.691,54,93.806473,,
63.691,54,94.257462,,
63.691,54,94.708458,,
63.691,54,95.159447,,
63.691,54,95.610443,,
63.691,54,96.061432,,
63.691,54,96.512428,,
63.691,54,96.963417,,
63.691,54,97.414413,,
63.691,54,97.865402,,
63.691,54,98.316399,,
63.691,54,98.767387,,
63.691,54,99.218384,,
63.691,54,99.669373,,
63.691,54,100.120369,,
63.691,54,100.571358,,
63.691,54,101.022354,,
63.691,54,101.473343,,
63.691,54,101.924339,,
63.691,54,102.375328,,
63.691,54,102.826324,,
63.691,54,103.277313,,
63.691,54,103.72831,,
63.785,54,104.179298,,
63.785,54,104.630295,,
63.785,54,105.081284,,
63.785,54,105.53228,,
63.785,54,105.983269,,
63.785,54,106.434265,,
63.785,54,106.885254,,
63.785,54,107.33625,,
63.785,54,107.787239,,
63.785,54,108.238235,,
63.785,54,108.689224,,
63.785,54,109.140221,,
63.785,54,109.591209,,
63.785,54,110.042206,,
63.785,54,110.493195,,
63.785,54,110.944191,,
63.785,54,111.39518,,
63.785,54,111.846176,,
63.785,54,112.297165,,
63.785,54,112.748161,,
63.785,54,113.19915,,
63.785,54,113.650146,,
63.785,54,114.101135,,
63.785,54,114.552132,,
63.785,54,115.00312,,
63.785,54,115.454117,,
63.785,54,115.905113,,
63.785,54,116.356102,,
63.785,54,116.807098,,
63.785,54,117.258087,,
63.785,54,117.709084,,
63.785,54,118.160072,,
63.785,54,118.611069,,
63.785,54,119.062057,,
63.785,54,119.513054,,
63.785,54,119.964043,,
